Año,Semana,Precio Gasolina,Precio Gasoleo
2015,Semana 22,1.315,1.203
2015,Semana 23,1.318,1.2
2015,Semana 24,1.323,1.194
2015,Semana 25,1.33,1.185
2015,Semana 26,1.337,1.182
2015,Semana 27,1.325,1.177
2015,Semana 28,1.326,1.177
2015,Semana 29,1.331,1.157
2015,Semana 30,1.32,1.145
2015,Semana 31,1.307,1.137
2015,Semana 32,1.284,1.119
2015,Semana 33,1.271,1.105
2015,Semana 34,1.252,1.096
2015,Semana 35,1.232,1.086
2015,Semana 36,1.183,1.053
2015,Semana 37,1.193,1.081
2015,Semana 38,1.194,1.085
2015,Semana 39,1.178,1.072
2015,Semana 40,1.174,1.071
2015,Semana 41,1.17,1.07
2015,Semana 42,1.177,1.077
2015,Semana 43,1.165,1.062
2015,Semana 44,1.151,1.05
2015,Semana 45,1.154,1.052
2015,Semana 46,1.171,1.067
2015,Semana 47,1.17,1.065
2015,Semana 48,1.156,1.051
2015,Semana 49,1.165,1.053
2015,Semana 50,1.162,1.039
2015,Semana 51,1.14,1.005
2016,Semana 1,1.136,0.9834999999999999
2016,Semana 2,1.132,0.962
2016,Semana 3,1.131,0.957
2016,Semana 4,1.109,0.933
2016,Semana 5,1.095,0.909
2016,Semana 6,1.104,0.918
2016,Semana 7,1.098,0.93
2016,Semana 8,1.069,0.919
2016,Semana 9,1.069,0.928
2016,Semana 10,1.065,0.929
2016,Semana 11,1.078,0.946
2016,Semana 12,1.104,0.971
2016,Semana 13,1.116,0.977
2016,Semana 14,1.13589,0.97615
2016,Semana 15,1.135,0.976
2016,Semana 16,1.127,0.953
2016,Semana 17,1.148,0.97
2016,Semana 18,1.152,0.986
2016,Semana 19,1.164,1.004
2016,Semana 20,1.159,1.005
2016,Semana 21,1.156,1.007
2016,Semana 22,1.177,1.032
2016,Semana 23,1.19,1.048
2016,Semana 24,1.192,1.055
2016,Semana 25,1.185,1.056
2016,Semana 26,1.179,1.052
2016,Semana 27,1.184,1.047
2016,Semana 28,1.182,1.05
2016,Semana 29,1.167,1.041
2016,Semana 30,1.149,1.03
2016,Semana 31,1.144,1.026
2016,Semana 32,1.134,1.014
2016,Semana 33,1.121,0.996
2016,Semana 34,1.131,1.003
2016,Semana 35,1.145,1.023
2016,Semana 36,1.156,1.037
2016,Semana 37,1.158,1.034
2016,Semana 38,1.154,1.027
2016,Semana 39,1.157,1.028
2016,Semana 40,1.156,1.028
2016,Semana 41,1.159,1.032
2016,Semana 42,1.178,1.053
2016,Semana 43,1.186,1.067
2016,Semana 44,1.189,1.073
2016,Semana 45,1.189,1.075
2016,Semana 46,1.179,1.061
2016,Semana 47,1.161,1.041
2016,Semana 48,1.158,1.041
2016,Semana 49,1.174,1.059
2016,Semana 50,1.184,1.069
2016,Semana 51,1.202,1.089
2016,Semana 52,1.215,1.105
2017,Semana 1,1.226,1.116
2017,Semana 2,1.237,1.127
2017,Semana 3,1.246,1.136
2017,Semana 4,1.241,1.129
2017,Semana 5,1.242,1.123
2017,Semana 6,1.243,1.122
2017,Semana 7,1.245,1.124
2017,Semana 8,1.247,1.127
2017,Semana 9,1.254,1.131
2017,Semana 10,1.253,1.133
2017,Semana 11,1.249,1.132
2017,Semana 12,1.236,1.125
2017,Semana 13,1.217,1.105
2017,Semana 14,1.212,1.096
2017,Semana 15,1.215,1.094
2017,Semana 16,1.236,1.108
2017,Semana 17,1.25761,1.12552
2017,Semana 18,1.257,1.125
2017,Semana 19,1.239,1.109
2017,Semana 20,1.22,1.093
2017,Semana 21,1.206,1.079
2017,Semana 22,1.21,1.082
2017,Semana 23,1.215,1.087
2017,Semana 24,1.207,1.079
2017,Semana 25,1.194,1.06
2017,Semana 26,1.182,1.05
2017,Semana 27,1.172,1.041
2017,Semana 28,1.168,1.039
2017,Semana 29,1.174,1.048
2017,Semana 30,1.172,1.048
2017,Semana 31,1.176,1.054
2017,Semana 32,1.18,1.061
2017,Semana 33,1.187,1.072
